#star_name	spectral_type	m_M	m_M_err	app_mag_J	app_mag_J_err	app_mag_H	app_mag_H_err	app_mag_K	app_mag_K_err	app_mag_3.6	app_mag_3.6_err	app_mag_4.5	app_mag_4.5_err	app_mag_5.8	app_mag_5.8_err	app_mag_8.0	app_mag_8.0_err
TVLM_263-71765              	M8.0	2.48	0.2	13.36	3	12.72	2	12.32	2	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
TVLM_513-42404              	-99.9	2.3	0.7	14.41	3	13.76	4	13.49	4	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
TVLM_513-42404B             	-99.9	2.3	0.7	15.42	6	14.64	6	14.15	7	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
TVLM_513-46546              	M8.5	0.125	0.014	11.87	2	11.18	3	10.71	2	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
TVLM_513-8328               	-99.9	3.1	0.4	14.09	3	13.42	3	12.96	3	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
TVLM_831-154910             	-99.9	2.6	0.3	12.89	3	12.28	2	11.91	2	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
TVLM_831-161058             	M8.0	3.76	0.28	13.77	3	13.1	2	12.68	3	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
TVLM_831-165166             	-99.9	3.6	0.5	14.22	3	13.66	4	13.3	3	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
TVLM_832-10443              	M8.0	2.218	0.024	13.13	2	12.44	2	11.96	2	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
TVLM_832-42500              	M6.5	2.2	0.24	13.6	3	13.09	3	12.75	3	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
TVLM_868-110639             	M9.0	1.07	0.17	12.61	2	11.84	2	11.35	2	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
TVLM_890-60235              	M7.0	3.56	0.25	14.12	3	13.52	3	13.12	4	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
UGPS_J072227.51-054031.2                         	T9.0	-1.926	0.021	-9999	-9999	-9999	-9999	-9999	-9999	14.28	5	12.19	4	-99.9	-9.9	-99.9	-9.9
ULAS_J003402.77-005206.7                         	T8.5	0.82	0.04	-9999	-9999	-9999	-9999	-9999	-9999	16.28	3	14.49	3	14.82	5	13.91	6
ULAS_J133553.45+113005.2                         	T8.5	0	0.03	-9999	-9999	-9999	-9999	-9999	-9999	15.95	3	13.91	3	14.34	5	13.37	6
vB_10                       	M8.0	-1.153	0.01	9.91	3	9.23	3	8.77	2	8.29	2	8.3	3	8.15	1	8.14	0
vB_8                        	M7.0	-0.945	0.01	9.78	3	9.2	2	8.82	2	8.37	2	8.38	1	8.28	2	8.24	2
WISEP_J174124.27+255319.6   	T9.0	-1.3	0.5	16.48	2	16.24	4	16.89	20	14.43	2	12.39	2	-99.9	-9.9	-99.9	-9.9
Wolf_359                    	M6.0	-3.112	0.011	7.09	2	6.48	4	6.08	2	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
Wolf_940B                                        	T8.5	0.39	0.1	-9999	-9999	-9999	-9999	-9999	-9999	16.44	3	14.43	3	15.38	15	14.36	8
