#PLNTNAME	JST	JST_ERR	HST	HST_ERR	KST	KST_ERR	3.6ST	3.6ST_ERR	4.5ST	4.5ST_ERR	5.8ST	5.8ST_ERR	8.0ST	8.0ST_ERR	DIST	DIST_ERR	J	J_ERR	H	H_ERR	K	K_ERR	3.6	3.6_ERR	4.5	4.5_ERR	5.8	5.8_ERR	8	8.0_ERR	RAD	RAD_ERR	APP_MAG_STAR_W	APP_MAG_STAR_W_ERR	FLUX_RATIO_W	FLUX_RATIO_W_ERR	APP_MAG_STAR_NB1	APP_MAG_STAR_NB1_ERR	FLUX_RATIO_NB1	FLUX_RATIO_NB1_ERR	APP_MAG_STAR_NB2	APP_MAG_STAR_NB2_ERR	FLUX_RATIO_NB2	FLUX_RATIO_NB2_ERR	APP_MAG_STAR_Z	APP_MAG_STAR_Z_ERR	FLUX_RATIO_Z	FLUX_RATIO_Z_ERR	H20	NA	K	ALO	H	C	O	CA	SC	MG	SI	VO	TIO	HCN	CO
WASP-19	10.911	0.026	10.602	0.022	10.481	0.023	10.445	0.047	10.487	0.047	10.91	0.13	10.754	0.085	268.3252469	1.719532275	-999	-999	0.276	0.044	0.287	0.02	0.483	0.025	0.572	0.03	0.65	0.11	0.73	0.12	1.395	0.025	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
WASP-2	10.166	0.027	9.752	0.026	9.632	0.024	9.588	0.066	9.606	0.065	10.02	0.11	10.032	0.071	153.2421769	1.639315985	-999	-999	-999	-999	-999	-999	0.083	0.035	0.169	0.017	0.192	0.077	0.285	0.059	1.079	0.033	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
WASP-24	10.457	0.022	10.219	0.026	10.148	0.023	10.132	0.067	10.156	0.066	999.9	-99.9	999.9	-99.9	322.1140154	4.497674903	-999	-999	-999	-999	-999	-999	0.159	0.013	0.202	0.018	-999	-999	-999	-999	1.3	0.039	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
WASP-26	10.021	0.022	9.775	0.023	9.69	0.023	9.68	0.075	9.708	0.067	999.9	-99.9	999.9	-99.9	252.7592669	4.760704697	-999	-999	-999	-999	-999	-999	0.126	0.013	0.149	0.016	-999	-999	-999	-999	1.281	0.075	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
WASP-3	9.603	0.02	9.407	0.014	9.361	0.015	9.366	0.045	9.356	0.063	9.773	0.067	9.758	0.072	231.1609677	1.647960708	-999	-999	-999	-999	0.193	0.014	0.209	0.04	0.282	0.012	-999	-999	0.328	0.086	1.454	0.084	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
WASP-33	7.581	0.021	7.516	0.024	7.468	0.024	7.427	0.066	7.438	0.06	999.9	-99.9	999.9	-99.9	121.9437011	0.998395694	0.11	0.0252	-999	-999	0.244	0.027	0.26	0.05	0.41	0.02	-999	-999	-999	-999	1.603	0.014	7.619	0.03	0.123	0.025	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
WASP-36	11.609	0.028	11.353	0.027	11.294	0.026	11.158	0.022	11.196	0.02	-9999	-9999	-9999	-9999	386.3463664	5.260383217	-999	-999	-999	-999	0.13	0.04	-999	-999	-999	-999	-999	-999	-999	-999	1.269	0.03	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
WASP-39	-9999	-9999	-9999	-9999	-9999	-9999	10.159	0.023	10.224	0.021	999.9	-99.9	999.9	-99.9	213.9821429	1.759615458	-999	-999	-999	-999	-999	-999	0.088	0.015	0.096	0.018	-999	-999	-999	-999	1.27	0.04	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
WASP-4	11.179	0.025	10.842	0.026	10.746	0.021	10.71	0.051	10.732	0.046	999.9	-99.9	999.9	-99.9	267.2055695	3.771761125	-999	-999	-999	-999	0.185	0.014	0.319	0.031	0.343	0.027	-999	-999	-999	-999	1.395	0.022	11.001	0.03	0.068	0.018	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
WASP-43	9.995	0.024	9.397	0.025	9.267	0.026	9.129	0.063	9.214	0.061	999.9	-99.9	999.9	-99.9	86.74669178	0.328079705	0.042	0.0045	0.103	0.017	0.194	0.029	0.3773	0.0138	0.3866	0.0195	-999	-999	-999	-999	1.036	0.019	9.728	0.03	0.036	0.004	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
WASP-46	11.753	0.023	11.465	0.025	11.401	0.026	11.323	0.024	11.353	0.023	999.9	-99.9	999.9	-99.9	375.3100476	4.461970468	0.129	0.055	0.194	0.078	0.26	0.05	0.136	0.0701	0.4446	0.0589	-999	-999	-999	-999	1.31	0.051	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
WASP-48	10.627	0.025	10.441	0.032	10.372	0.022	10.34	0.065	10.36	0.069	999.9	-99.9	999.9	-99.9	454.1439172	4.465584859	-999	-999	0.047	0.016	0.109	0.027	0.176	0.013	0.214	0.02	-999	-999	-999	-999	1.67	0.08	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
WASP-5	10.949	0.022	10.65	0.025	10.598	0.023	10.539	0.069	10.588	0.072	999.9	-99.9	999.9	-99.9	309.136814	3.413806997	0.168	0.052	-999	999	0.2	0.02	0.197	0.028	0.237	0.024	-999	-999	-999	-999	1.171	0.057	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
WASP-6	-9999	-9999	-9999	-9999	-9999	-9999	10.275	0.022	10.338	0.021	999.9	-99.9	999.9	-99.9	197.1185153	1.632188602	-999	-999	-999	999	-999	-999	0.094	0.019	0.115	0.022	-999	-999	-999	-999	1.224	0.052	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
WASP-62	-9999	-9999	-9999	-9999	-9999	-9999	8.884	0.023	8.92	0.02	-9999	-9999	-9999	-9999	175.6311777	0.589633921	-999	-999	-999	999	-999	-999	0.1616	0.0146	0.1359	0.013	-999	-999	-999	-999	1.39	0.06	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
WASP-63	-9999	-9999	-9999	-9999	-9999	-9999	9.328	0.023	9.385	0.02	-9999	-9999	-9999	-9999	290.6835093	2.034960138	-999	-999	-999	999	-999	-999	0.0522	0.0095	0.0533	0.0128	-999	-999	-999	-999	1.43	0.06	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
WASP-64	-9999	-9999	-9999	-9999	-9999	-9999	10.94	0.022	11.006	0.019	-9999	-9999	-9999	-9999	369.9256094	3.026728913	-999	-999	-999	999	-999	-999	0.2859	0.027	0.2071	0.0471	-999	-999	-999	-999	1.271	0.039	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
WASP-65	-9999	-9999	-9999	-9999	-9999	-9999	10.282	0.022	10.344	0.02	-9999	-9999	-9999	-9999	273.7033413	2.732996115	-999	-999	-999	999	-999	-999	0.1587	0.0245	0.0724	0.0318	-999	-999	-999	-999	1.112	0.059	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
WASP-67	-9999	-9999	-9999	-9999	-9999	-9999	10.026	0.023	10.077	0.021	999.9	-99.9	999.9	-99.9	189.4689169	1.557283111	-999	-999	-999	999	-999	-999	0.022	0.013	0.08	0.018	-999	-999	-999	-999	1.4	0.2	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
WASP-69	-9999	-9999	-9999	-9999	-9999	-9999	7.315	0.036	7.441	0.019	999.9	-99.9	999.9	-99.9	49.96050474	0.131960653	-999	-999	-999	999	-999	-999	0.0421	0.0029	0.0463	0.0039	-999	-999	-999	-999	1.057	0.047	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
WASP-74	-9999	-9999	-9999	-9999	-9999	-9999	8.119	0.023	8.178	0.019	-9999	-9999	-9999	-9999	149.2159802	1.149197186	-999	-999	-999	999	-999	-999	0.1446	0.0066	0.2075	0.01	-999	-999	-999	-999	1.404	0.018	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
WASP-76	-9999	-9999	-9999	-9999	-9999	-9999	8.173	0.022	8.234	0.019	-9999	-9999	-9999	-9999	194.4593532	6.2056553	-999	-999	-999	999	-999	-999	0.2645	0.0063	0.3345	0.0082	-999	-999	-999	-999	1.83	0.06	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
WASP-77	-9999	-9999	-9999	-9999	-9999	-9999	8.085	0.022	8.158	0.019	-9999	-9999	-9999	-9999	105.1660576	1.208855056	-999	-999	-999	999	-999	-999	0.1845	0.0094	0.2362	0.0127	-999	-999	-999	-999	1.21	0.02	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
WASP-78	-9999	-9999	-9999	-9999	-9999	-9999	10.948	0.024	10.978	0.021	-9999	-9999	-9999	-9999	754.2580259	17.10224889	-999	-999	-999	999	-999	-999	0.2001	0.0218	0.2013	0.0351	-999	-999	-999	-999	1.7	0.11	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
WASP-79	-9999	-9999	-9999	-9999	-9999	-9999	9.02	0.023	9.042	0.021	-9999	-9999	-9999	-9999	246.6898523	1.819920663	-999	-999	-999	999	-999	-999	0.1394	0.0088	0.1783	0.0106	-999	-999	-999	-999	1.7	0.11	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
WASP-8	8.501	0.027	8.218	0.049	8.086	0.023	8.084	0.085	8.162	0.077	999.9	-99.9	8.552	0.063	89.96064039	0.364716758	-999	-999	-999	999	-999	-999	0.113	0.018	0.0692	0.0068	-999	-999	0.093	0.023	1.038	0.047	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
WASP-80	-9999	-9999	-9999	-9999	-9999	-9999	8.296	0.024	8.322	0.02	-9999	-9999	-9999	-9999	49.78760219	0.116297508	-999	-999	-999	999	-999	-999	0.0455	0.01	0.0944	0.0065	-999	-999	-999	-999	0.952	0.027	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
WASP-87	-9999	-9999	-9999	-9999	-9999	-9999	9.462	0.022	9.489	0.019	-9999	-9999	-9999	-9999	298.3924718	3.62123324	-999	-999	-999	999	-999	-999	0.2077	0.0127	0.2705	0.0137	-999	-999	-999	-999	1.385	0.06	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
WASP-94A	-9999	-9999	-9999	-9999	-9999	-9999	8.606	0.019	8.674	0.018	-9999	-9999	-9999	-9999	211.2114309	2.51218913	-999	-999	-999	999	-999	-999	0.0867	0.0059	0.0995	0.0093	-999	-999	-999	-999	1.72	0.06	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
WASP-97	-9999	-9999	-9999	-9999	-9999	-9999	8.945	0.023	8.99	0.02	-9999	-9999	-9999	-9999	151.068376	0.510283871	-999	-999	-999	999	-999	-999	0.1359	0.0084	0.1534	0.0101	-999	-999	-999	-999	1.13	0.06	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
XO-1	9.939	0.022	9.601	0.017	9.527	0.015	9.465	0.061	9.515	0.061	9.947	0.069	9.967	0.075	163.5532843	0.622187187	-999	-999	-999	999	-999	-999	0.086	0.007	0.122	0.009	0.261	0.031	0.21	0.029	1.184	0.04	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
XO-2	9.744	0.022	9.34	0.026	9.308	0.021	9.236	0.064	9.294	0.06	9.725	0.078	9.733	0.072	154.2726329	1.458878665	-999	-999	-999	999	-999	-999	0.081	0.017	0.098	0.02	0.167	0.036	0.133	0.049	0.973	0.03	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
XO-3	9.013	0.029	8.845	0.018	8.791	0.019	8.754	0.039	8.757	0.037	9.21	0.067	9.213	0.067	213.0526385	2.723917543	-999	-999	-999	999	-999	-999	0.101	0.004	0.158	0.0036	0.134	0.049	0.15	0.036	1.217	0.073	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
XO-4	9.667	0.021	9.476	0.022	9.406	0.023	9.386	0.066	9.409	0.061	999.9	-99.9	999.9	-99.9	272.6549249	2.91447246	-999	-999	-999	999	-999	-999	0.056	0.012	0.135	0.01	-999	-999	-999	-999	1.317	0.04	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
