#PLNTNAME	JST	JST_ERR	HST	HST_ERR	KST	KST_ERR	3.6ST	3.6ST_ERR	4.5ST	4.5ST_ERR	5.8ST	5.8ST_ERR	8.0ST	8.0ST_ERR	DIST	DIST_ERR	J	J_ERR	H	H_ERR	K	K_ERR	3.6	3.6_ERR	4.5	4.5_ERR	5.8	5.8_ERR	8	8.0_ERR	RAD	RAD_ERR	APP_MAG_STAR_W	APP_MAG_STAR_W_ERR	FLUX_RATIO_W	FLUX_RATIO_W_ERR	APP_MAG_STAR_NB1	APP_MAG_STAR_NB1_ERR	FLUX_RATIO_NB1	FLUX_RATIO_NB1_ERR	APP_MAG_STAR_NB2	APP_MAG_STAR_NB2_ERR	FLUX_RATIO_NB2	FLUX_RATIO_NB2_ERR	APP_MAG_STAR_Z	APP_MAG_STAR_Z_ERR	FLUX_RATIO_Z	FLUX_RATIO_Z_ERR	H20	NA	K	ALO	H	C	O	CA	SC	MG	SI	VO	TIO	HCN	CO
HAT-P-23	11.103	0.022	10.846	0.022	10.791	0.02	10.822	0.066	10.77	0.068	999.9	-99.9	999.9	-99.9	364.8125896	4.772627283	-999	-999	-999	-999	0.234	0.046	0.248	0.019	0.309	0.026	-999	-999	-999	-999	1.368	0.09	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
HAT-P-3	9.936	0.022	9.542	0.028	9.448	0.025	9.382	0.065	9.45	0.062	999.9	-99.9	999.9	-99.9	134.5541831	0.480250869	-999	-999	-999	-999	-999	-999	0.112	0.03	0.094	0.016	-999	-999	-999	-999	0.827	0.055	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
HAT-P-30	-9999	-9999	-9999	-9999	-9999	-9999	9.018	0.024	9.058	0.02	-9999	-9999	-9999	-9999	213.9850891	2.217041908	-999	-999	-999	-999	-999	-999	0.1584	0.0107	0.1825	0.0147	-999	-999	-999	-999	1.34	0.065	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
HAT-P-32	10.251	0.022	10.024	0.022	9.99	0.022	9.884	0.024	9.896	0.02	999.9	-99.9	999.9	-99.9	289.2050545	5.354501171	0.04	0.013	0.09	0.033	0.178	0.057	0.364	0.016	0.438	0.02	-999	-999	-999	-999	1.789	0.025	10.151	0.03	0.051	0.013	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
HAT-P-33	-9999	-9999	-9999	-9999	-9999	-9999	9.98	0.023	10.013	0.022	-9999	-9999	-9999	-9999	396.1100994	7.647172358	-999	-999	-999	-999	-999	-999	0.1603	0.0127	0.1835	0.0199	-999	-999	-999	-999	1.827	0.29	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
HAT-P-4	10.1	0.022	9.837	0.02	9.77	0.02	9.749	0.072	9.799	0.068	999.9	-99.9	999.9	-99.9	320.4514594	2.851856512	-999	-999	-999	-999	-999	-999	0.142	0.016	0.122	0.014	-999	-999	-999	-999	1.27	0.05	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
HAT-P-40	-9999	-9999	-9999	-9999	-9999	-9999	9.951	0.024	9.976	0.021	-9999	-9999	-9999	-9999	464.4694705	6.536891283	-999	-999	-999	-999	-999	-999	0.0988	0.0168	0.1057	0.0145	-999	-999	-999	-999	1.73	0.062	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
HAT-P-41	-9999	-9999	-9999	-9999	-9999	-9999	9.54	0.023	9.598	0.02	-9999	-9999	-9999	-9999	348.1846307	4.529677924	-999	-999	-999	-999	-999	-999	0.1829	0.0319	0.2278	0.0177	-999	-999	-999	-999	1.685	0.076	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
HAT-P-6	9.558	0.023	9.44	0.018	9.313	0.019	9.289	0.067	9.301	0.063	999.9	-99.9	999.9	-99.9	275.3575084	3.636083617	-999	-999	-999	-999	-999	-999	0.117	0.008	0.106	0.006	-999	-999	-999	-999	1.33	0.061	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
HAT-P-7	9.555	0.03	9.344	0.029	9.334	0.018	9.291	0.068	9.281	0.043	9.727	0.081	9.759	0.068	341.0793669	2.431114573	-999	-999	-999	-999	-999	-999	0.098	0.017	0.159	0.022	0.245	0.031	0.262	0.027	1.431	0.011	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
HAT-P-8	9.214	0.022	9.004	0.018	8.953	0.013	8.942	0.064	8.932	0.06	999.9	-99.9	999.9	-99.9	211.5529016	1.708604216	-999	-999	-999	-999	-999	-999	0.131	0.01	0.111	0.008	-999	-999	-999	-999	1.5	0.06	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
HD-149026	7.118	0.024	6.899	0.018	6.819	0.017	6.84	0.062	6.827	0.045	7.305	0.062	7.23	0.06	75.86426213	0.174043374	-999	-999	-999	-999	-999	-999	0.04	0.003	0.034	0.006	0.044	0.01	0.052	0.006	0.718	0.065	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
HD-189733	6.073	0.032	5.587	0.031	5.541	0.021	5.45	0.065	5.53	0.061	5.971	0.063	5.968	0.059	19.76384912	0.012734385	-999	-999	-999	-999	-999	-999	0.256	0.014	0.214	0.02	0.31	0.034	0.344	0.0036	1.138	0.077	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
HD-209458	6.591	0.02	6.366	0.038	6.308	0.026	6.258	0.043	6.305	0.035	6.791	0.064	6.765	0.057	48.30159668	0.124010844	0.091	0.018	-999	-999	-999	-999	0.106	0.008	0.133	0.011	0.142	0.059	0.215	0.012	1.38	0.018	6.485	0.03	0.073	0.018	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
KELT-1	9.682	0.022	9.534	0.03	9.437	0.019	9.39	0.063	9.405	0.061	999.9	-99.9	999.9	-99.9	268.4304838	3.056731634	-999	-999	-999	-999	0.16	0.02	0.195	0.01	0.2	0.012	-999	-999	-999	-999	1.15	0.16	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
KELT-2	-9999	-9999	-9999	-9999	-9999	-9999	7.286	0.026	7.337	0.02	-9999	-9999	-9999	-9999	134.0580924	0.802395781	-999	-999	-999	-999	-999	-999	0.0572	0.0046	0.0616	0.0045	-999	-999	-999	-999	1.306	0.067	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
